MODALIDADE;POSIÇÃO;INSTITUIÇÃO FINANCEIRA;TAXAS MÉDIAS (% a.a.);TAXAS MÉDIAS (% a.m.)
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;14;STARA FINANCEIRA S.A. - CFI;27,57;2,05
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;15;BCO DA AMAZONIA S.A.;28,56;2,12
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;16;BANCOSEGURO S.A.;29,41;2,17
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;17;BCO TOYOTA DO BRASIL S.A.;32,74;2,39
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;18;BARU SCFI S/A;33,4;2,43
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;19;AL5 S.A. SCFI;35,62;2,57
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;20;BCO C6 S.A.;36,06;2,6
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;21;SANTANDER SCFI S.A.;37,08;2,66
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;22;BCO BRADESCO FINANC. S.A.;37,25;2,67
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;23;BCO VOTORANTIM S.A.;37,58;2,69
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;24;CAIXA ECONOMICA FEDERAL;44,05;3,09
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;25;BCO SANTANDER (BRASIL) S.A.;46,82;3,25
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;26;BANCO BTG PACTUAL S.A.;47,06;3,27
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;27;BCO DO EST. DE SE S.A.;47,46;3,29
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;28;BCO XP S.A.;48,93;3,38
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;29;OMNI SA CFI;55,2;3,73
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;30;BCO DO ESTADO DO RS S.A.;56,37;3,8
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;31;BCO DO BRASIL S.A.;57,12;3,84
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;32;ITAÚ UNIBANCO S.A.;60,45;4,02
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;33;BANCO BARI S.A.;61,63;4,08
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;34;PORTOSEG S.A. CFI;66,55;4,34
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;35;ASA SCFI S.A.;66,87;4,36
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;36;FINAMAX S.A. CFI;71,86;4,62
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;37;BCO DO NORDESTE DO BRASIL S.A.;73,87;4,72
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;38;BCO BANESTES S.A.;73,99;4,72
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;39;BRB - BCO DE BRASILIA S.A.;77,73;4,91
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;40;BCO BRADESCO S.A.;87,94;5,4
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;41;NU FINANCEIRA S.A. CFI;105,92;6,2
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;42;BCO RENDIMENTO S.A.;106,48;6,23
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;43;BCO DO EST. DO PA S.A.;112,7;6,49
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;44;BANCO DIGIO;114,09;6,55
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;45;KREDILIG S.A. - CFI;137,41;7,47
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;46;NEON FINANCEIRA - SCFI S.A.;139,39;7,55
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;47;BCO AGIBANK S.A.;141,98;7,64
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;48;BANCO PAN;162,57;8,38
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;49;BECKER FINANCEIRA SA - CFI;170,47;8,65
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;50;GAZINCRED S.A. SCFI;174,44;8,78
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;51;99PAY SCFI;181,48;9,01
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;52;MERCADO CRÉDITO SCFI S.A.;181,81;9,02
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;53;BCO AFINZ S.A. - BM;205,21;9,74
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;54;AGORACRED S/A SCFI;206,81;9,79
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;55;LEBES FINANCEIRA S.A. - CFI;235,04;10,6
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;56;CALCRED S.A.;249,6;10,99
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;57;GRAZZIOTIN FINANCEIRA S/A;258,43;11,22
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;58;PICPAY BANK - BANCO MÚLTIPLO S.A;263,56;11,36
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;59;CENTROCRED S.A. CFI;276,85;11,69
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;60;PEFISA S.A. - C.F.I.;287,55;11,95
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;61;BCO MERCANTIL DO BRASIL S.A.;289,96;12,01
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;62;CLOUDWALK FINANCEIRA S.A. CFI;301,76;12,29
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;63;CREDIARE CFI S.A.;302,46;12,3
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;64;CREFISA S.A. CFI;306,17;12,39
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;65;BCO SENFF S.A.;319,09;12,68
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;66;ZEMA CFI S/A;320,14;12,71
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;67;BANCO SEMEAR;320,69;12,72
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;68;MIDWAY S.A. - SCFI;330;12,92
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;69;FACTA S.A. CFI;353;13,42
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;70;BCO ARBI S.A.;357,09;13,5
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;71;NEGRESCO S.A. - CFI;358,29;13,53
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;72;GOLCRED S/A - CFI;371,79;13,8
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;73;VIA CERTA FINANCIADORA S.A. - CFI;407,05;14,49
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;74;HS FINANCEIRA;413,54;14,61
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;75;REALIZE SCFI S.A.;422,49;14,77
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;76;JBCRED S.A. SCFI;447,33;15,22
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;77;VALOR S/A SCFI;459,52;15,43
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;78;BCO BMG S.A.;521,09;16,44
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;79;COBUCCIO S.A. SCFI;570,09;17,18
CRÉDITO PESSOAL NÃO CONSIGNADO - PREFIXADO;80;BCO DAYCOVAL S.A;626,14;17,96
DESCONTO DE CHEQUES - PREFIXADO;1;BCO BRADESCO S.A.;33,19;2,42
DESCONTO DE CHEQUES - PREFIXADO;2;BCO DO BRASIL S.A.;99,89;5,94
DESCONTO DE CHEQUES - PREFIXADO;3;BCO BANESTES S.A.;113,45;6,52
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
 ; ; ; ; 
